Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
263.31;2.4038;954.22;63.587;142.00;362.49;144.52;400.29
263.52;2.4178;953.26;63.991;142.42;362.49;144.96;400.27
263.73;2.4320;952.30;64.398;142.85;362.48;145.40;400.25
263.94;2.4461;951.33;64.807;143.27;362.48;145.84;400.22
264.16;2.4604;950.36;65.218;143.69;362.47;146.28;400.20
264.37;2.4747;949.39;65.631;144.12;362.46;146.73;400.17
264.58;2.4890;948.42;66.048;144.54;362.46;147.17;400.14
264.79;2.5035;947.45;66.466;144.97;362.45;147.61;400.12
265.00;2.5179;946.47;66.887;145.40;362.44;148.06;400.09
265.22;2.5325;945.49;67.311;145.82;362.43;148.50;400.06
265.43;2.5471;944.51;67.737;146.25;362.42;148.95;400.03
265.64;2.5617;943.53;68.166;146.68;362.41;149.39;400.00
265.85;2.5765;942.54;68.597;147.10;362.40;149.84;399.96
266.06;2.5912;941.55;69.031;147.53;362.39;150.29;399.93
266.28;2.6061;940.56;69.467;147.96;362.38;150.73;399.90
266.49;2.6210;939.57;69.906;148.39;362.37;151.18;399.86
266.70;2.6360;938.57;70.348;148.82;362.35;151.63;399.83
266.91;2.6510;937.58;70.792;149.25;362.34;152.08;399.79
267.12;2.6661;936.58;71.239;149.68;362.33;152.53;399.75
267.34;2.6813;935.57;71.689;150.11;362.31;152.98;399.71
267.55;2.6965;934.57;72.142;150.54;362.29;153.43;399.67
267.76;2.7118;933.56;72.597;150.98;362.28;153.88;399.63
267.97;2.7271;932.55;73.055;151.41;362.26;154.33;399.59
268.18;2.7425;931.54;73.516;151.84;362.24;154.78;399.55
268.40;2.7580;930.53;73.979;152.27;362.22;155.24;399.50
268.61;2.7735;929.51;74.446;152.71;362.20;155.69;399.46
268.82;2.7891;928.49;74.915;153.14;362.18;156.15;399.41
269.03;2.8048;927.47;75.387;153.58;362.16;156.60;399.37
269.24;2.8205;926.44;75.862;154.01;362.14;157.06;399.32
