Temperature (K);Pressure (MPa);Liquid Density (l, kg/m3);Vapor Density (v, kg/m3);Liquid Internal Energy (l, kJ/kg);Vapor Internal Energy (v, kJ/kg);Liquid Enthalpy (l, kJ/kg);Vapor Enthalpy (v, kJ/kg)
294.35;5.8927;760.09;204.04;252.30;376.32;260.05;405.20
294.50;5.9128;758.42;205.30;252.78;376.05;260.57;404.85
294.65;5.9329;756.73;206.57;253.25;375.78;261.09;404.50
294.79;5.9531;755.03;207.85;253.74;375.51;261.62;404.15
294.94;5.9734;753.31;209.16;254.22;375.24;262.15;403.80
295.08;5.9937;751.57;210.47;254.71;374.96;262.68;403.43
295.23;6.0141;749.82;211.80;255.20;374.67;263.22;403.07
295.37;6.0345;748.05;213.15;255.69;374.38;263.76;402.69
295.52;6.0550;746.27;214.52;256.18;374.09;264.30;402.32
295.67;6.0755;744.47;215.90;256.68;373.79;264.84;401.93
295.81;6.0961;742.65;217.31;257.18;373.49;265.39;401.55
295.96;6.1168;740.81;218.73;257.69;373.19;265.94;401.15
296.10;6.1375;738.95;220.17;258.20;372.88;266.50;400.75
296.25;6.1583;737.08;221.62;258.71;372.56;267.06;400.35
296.40;6.1791;735.18;223.10;259.22;372.24;267.63;399.94
296.54;6.2000;733.26;224.60;259.74;371.91;268.19;399.52
296.69;6.2210;731.32;226.13;260.26;371.58;268.77;399.09
296.83;6.2420;729.36;227.67;260.79;371.25;269.34;398.66
296.98;6.2630;727.37;229.24;261.32;370.90;269.93;398.22
297.13;6.2842;725.36;230.83;261.85;370.55;270.51;397.78
297.27;6.3053;723.33;232.44;262.39;370.20;271.11;397.33
297.42;6.3266;721.27;234.08;262.93;369.84;271.70;396.87
297.56;6.3479;719.18;235.75;263.48;369.47;272.30;396.40
297.71;6.3693;717.07;237.44;264.03;369.10;272.91;395.92
297.85;6.3907;714.93;239.16;264.59;368.72;273.53;395.44
298.00;6.4122;712.76;240.91;265.15;368.33;274.14;394.94
298.15;6.4337;710.55;242.69;265.72;367.93;274.77;394.44
298.29;6.4554;708.32;244.50;266.29;367.53;275.40;393.93
298.44;6.4770;706.05;246.35;266.87;367.11;276.04;393.41
298.58;6.4988;703.75;248.23;267.45;366.69;276.68;392.88
298.73;6.5206;701.41;250.14;268.04;366.26;277.34;392.33
298.88;6.5424;699.03;252.09;268.64;365.83;278.00;391.78
299.02;6.5644;696.62;254.08;269.24;365.38;278.66;391.21
299.17;6.5864;694.16;256.11;269.85;364.92;279.34;390.64
299.31;6.6084;691.66;258.19;270.47;364.45;280.03;390.05
299.46;6.6305;689.11;260.31;271.10;363.97;280.72;389.44
299.61;6.6527;686.52;262.47;271.73;363.48;281.42;388.83
299.75;6.6750;683.87;264.69;272.38;362.97;282.14;388.19
299.90;6.6973;681.17;266.95;273.03;362.46;282.86;387.55
300.04;6.7197;678.42;269.28;273.69;361.93;283.60;386.88
300.19;6.7422;675.60;271.66;274.36;361.38;284.34;386.20
300.33;6.7647;672.73;274.10;275.05;360.82;285.10;385.50
300.48;6.7873;669.78;276.61;275.74;360.25;285.88;384.78
300.63;6.8100;666.77;279.19;276.45;359.65;286.66;384.04
300.77;6.8327;663.67;281.85;277.17;359.04;287.47;383.28
300.92;6.8555;660.50;284.58;277.91;358.41;288.29;382.50
301.06;6.8784;657.24;287.41;278.66;357.76;289.12;381.69
301.21;6.9013;653.88;290.32;279.42;357.08;289.98;380.85
301.36;6.9243;650.43;293.34;280.21;356.38;290.85;379.98
